questionId,det_correct__judge_incorrect,det_correct__judge_partial,det_wrong__judge_correct,det_wrong__judge_partial,total
q01-tab-definition,0,2,0,0,2
q02-programmatic-tab-selection,1,2,0,3,6
q03-hierarchical-navigation-setup,0,5,0,2,7
q05-styling-text-with-a-custom-color,0,2,0,0,2
q07-rounding-corners-on-a-container,0,1,0,0,1
q08-adding-a-border-to-a-filled-shape,7,0,0,0,7
q09-smooth-apple-style-rounded-corners,3,3,0,1,7
q10-shared-data-model-for-multiple-views,0,1,0,0,1
q11-thread-safety-for-observable-classes,7,1,0,0,8
q12-persisting-userdefaults-in-an-observable-class,2,6,0,0,8
q13-saving-on-every-keystroke,1,0,0,0,1
q15-user-facing-search-text-matching,0,5,0,0,5
q16-empty-search-state,3,1,0,0,4
q17-displaying-prices-and-currency,1,3,1,0,5
q18-formatting-dates-for-display,1,0,0,3,4
q19-locale-safe-date-display,0,1,0,4,5
q20-reacting-to-state-changes,8,0,0,0,8
q21-animating-a-specific-value-change,0,7,0,0,7
q22-chaining-sequential-animations,0,4,0,0,4
q23-making-a-custom-shape-animatable,0,0,1,3,4
q25-reading-a-parent-view-s-size,1,0,0,0,1
q26-accessibility-of-an-icon-only-button,0,1,0,1,2
q27-making-an-image-interactive,3,0,0,0,3
q28-custom-font-size-that-respects-user-preferences,0,0,0,1,1
q29-slider-layout-in-a-form,0,1,0,0,1
q30-multiline-text-input-with-placeholder,0,1,0,0,1
q31-presenting-a-detail-sheet-from-an-optional,0,3,0,0,3
q32-where-to-attach-a-confirmation-dialog,1,8,0,0,9
q33-slow-loading-scrollview-with-many-items,0,7,0,0,7
q34-controlling-scroll-indicator-visibility,0,6,0,0,6
q35-optimizing-scroll-edge-rendering,6,0,0,0,6
q36-loading-data-when-a-view-appears,1,4,0,0,5
q37-expensive-work-in-a-view-initializer,0,6,0,2,8
q38-toggling-modifiers-with-if-else,0,7,0,1,8
q39-returning-different-view-types-from-a-function,0,0,4,2,6
q40-breaking-up-a-long-view-body,3,1,0,0,4
q41-multiple-view-types-in-one-file,8,0,0,0,8
q42-defining-a-custom-environment-value,0,0,1,1,2
q43-triggering-haptic-feedback,0,3,1,1,5
q44-updating-the-ui-after-a-background-task,0,0,1,4,5
q45-adding-a-delay-in-an-async-context,0,0,2,1,3
q46-thread-safe-shared-cache,0,0,2,4,6
q47-getting-the-user-s-documents-directory,0,0,0,1,1
q50-avoiding-repeated-id-parameters,0,7,0,0,7
q51-displaying-a-web-page-in-swiftui,0,0,1,0,1
q52-storing-sensitive-data-across-launches,0,8,0,0,8
q53-displaying-an-icon-next-to-a-label,0,0,0,6,6
q54-large-animations-and-user-sensitivity,0,8,0,0,8
q55-counting-items-that-match-a-condition,0,3,0,0,3
q56-capturing-a-swiftui-view-as-a-bitmap,0,3,1,2,6
q57-unique-constraints-in-swiftdata-with-cloudkit,2,3,0,0,5
q58-swiftdata-relationships-with-cloudkit,6,1,0,0,7
q59-displaying-a-person-s-full-name,1,0,0,0,1
q60-overlaying-a-badge-on-an-image,0,2,0,0,2
q61-sharing-mutable-state-with-a-child-view,0,5,0,0,5
q62-setting-up-swiftui-previews,0,1,1,1,3
q63-menu-with-only-an-icon-label,0,0,0,3,3
q64-color-only-status-indicators,0,2,0,2,4
q65-type-safe-asset-catalog-references,0,0,0,2,2
q66-accepting-child-content-in-a-custom-view,6,0,0,0,6
q68-handling-errors-from-user-actions,0,1,0,5,6
q69-missing-combine-at-runtime,0,4,0,1,5
q70-subtle-text-hierarchy-with-transparency,0,2,1,1,4
q71-where-to-attach-an-accessibility-label,1,0,0,5,6
q72-hiding-an-interactive-element-from-voiceover,0,2,0,5,7
q73-mixing-old-and-new-navigation-apis,0,3,0,4,7
q74-heavy-computation-in-a-view-body,0,4,0,4,8
q75-calling-async-code-from-a-button,0,6,0,1,7
